"","child_sex","cluster","EREP_1.1.1","EREP_1.1.2","EREP_1.2.1","EREP_1.2.2","EREP_1.3.1","EREP_1.3.2","EREP_4.1.1","EREP_4.1.2","EREP_4.2.1","EREP_4.2.2","EREP_4.3.1","EREP_4.3.2","EREP_6.1.1","EREP_6.1.2","EREP_6.2.1","EREP_6.2.2","EREP_6.3.1","EREP_6.3.2","EREP_7.1.1","EREP_7.1.2","EREP_7.2.1","EREP_7.2.2","EREP_7.3.1","EREP_7.3.2","EREP_8.1.1","EREP_8.1.2","EREP_8.2.1","EREP_8.2.2","EREP_8.3.1","EREP_8.3.2","EREP_10.1.1","EREP_10.1.2","EREP_10.2.1","EREP_10.2.2","EREP_10.3.1","EREP_10.3.2","EREP_2.1.1","EREP_2.1.2","EREP_2.2.1","EREP_2.2.2","EREP_2.3.1","EREP_2.3.2","EREP_3.1.1","EREP_3.1.2","EREP_3.2.1","EREP_3.2.2","EREP_3.3.1","EREP_3.3.2","EREP_5.1.1","EREP_5.1.2","EREP_5.2.1","EREP_5.2.2","EREP_5.3.1","EREP_5.3.2","EREP_9.1.1","EREP_9.1.2","EREP_9.2.1","EREP_9.2.2","EREP_9.3.1","EREP_9.3.2","EREP_12.1.1","EREP_12.1.2","EREP_12.2.1","EREP_12.2.2","EREP_12.3.1","EREP_12.3.2"
"181",1,21.1,5,6,6,2,1,1,4,4,4,3,1,2,1,7,1,6,1,2,6,4,1,4,1,3,1,6,1,6,1,1,6,7,1,6,2,6,1,2,1,3,1,1,1,7,1,1,1,1,1,7,1,2,1,1,7,6,7,3,7,5,7,5,7,3,6,6
"182",2,22.2,5,5,5,5,7,5,1,1,2,1,1,4,5,2,5,3,5,3,6,6,5,3,1,2,3,2,5,3,4,2,5,5,6,5,7,5,1,1,3,4,5,3,1,1,2,1,5,4,1,1,1,1,4,1,5,7,6,5,5,6,5,6,6,6,7,6
"183",1,7.2,4,6,5,1,1,1,1,1,1,1,2,1,2,5,4,7,2,4,4,6,1,2,1,2,1,1,5,1,1,1,5,5,6,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,7,7,7,6,7,5,6,5,7,5,7
"184",1,22.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,6.49008647115601,7,7,7,7,7,7,7,7,7
"185",1,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",1,15.1,2,1,1,1,NA,NA,1,1,1,1,NA,NA,2,2,2,2,NA,NA,6,7,1,1,NA,NA,1,1,1,1,NA,NA,2,2,4,2,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,6,7,7,7,NA,NA,6,7,7,7,NA,NA
"187",1,19.2,6,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,5,6,NA,NA,NA,NA,3,6,NA,NA,NA,NA,3,2,NA,NA,NA,NA,6,5,NA,NA,NA,NA,5,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,3,7,NA,NA,NA,NA,5,6,NA,NA,NA,NA
"188",2,22.2,6,7,4,3,2,5,1,1,2,2,1,1,4,4,4,4,5,5,4,6,4,4,4,4,1,1,2,2,7,1,5,5,6,6,5,5,2,1,3,3,1,1,1,1,2,2,1,1,1,1,2,2,1,1,7,7,6,6,6,7,7,7,6,7,6,7
"189",2,19.2,4,7,4,6,4,6,4,4,1,6,1,6,4,7,1,7,1,7,4,1,1,7,1,7,4,4,1,6,1,1,4,7,1,6,4,7,4,7,4,7,1,7,4,1,1,7,1,1,4,5,1,7,1,6,7,7,5,5,6,7,7,7,4,7,4,7
"190",2,3.3,3,5,NA,NA,1,4,2,1,NA,NA,4,4,6,5,NA,NA,6,5,6,2,NA,NA,4,4,6,2,NA,NA,1,1,5,6,NA,NA,6,5,1,1,NA,NA,1,1,1,1,NA,NA,1,1,2,1,NA,NA,1,1,7,6,NA,NA,7,6,6,6,NA,NA,6,6
"191",2,1.1,1,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,7,NA,NA,NA,NA,6,3,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,5,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"192",2,14.1,4,4,NA,NA,1,4,4,1,NA,NA,1,1,4,3,NA,NA,1,3,4,1,NA,NA,1,4,4,1,NA,NA,1,1,4,5,NA,NA,2,6,4,4,NA,NA,1,1,4,1,NA,NA,1,1,4,1,NA,NA,1,1,4,7,NA,NA,7,7,4,7,NA,NA,5,7
"193",1,13.2,5,3,4,1,NA,3,1,2,3,1,NA,2,2,5,6,2,NA,5,1,6,1,2,NA,3,1,2,1,1,NA,1,6,7,7,5,NA,5,1,2,1,1,NA,1,1,1,1,1,NA,1,1,2,1,1,NA,1,7,7,7,7,NA,7,7,7,7,7,NA,7
"194",2,13.1,6,4,NA,NA,NA,6,5,5,NA,NA,NA,3,6,5,NA,NA,NA,7,2,2,NA,NA,NA,5,4,7,NA,NA,NA,6,5,4,NA,NA,NA,6,4,6,NA,NA,NA,5,3,5,NA,NA,NA,3,4,5,NA,NA,NA,2,6,6,NA,NA,NA,6,4,2,NA,NA,NA,5
"195",2,1.1,4,4,NA,NA,NA,NA,1,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA,4,4,NA,NA,NA,NA,1,4,NA,NA,NA,NA,4,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,4,NA,NA,NA,NA,1,2,NA,NA,NA,NA,7,5,NA,NA,NA,NA,7,5,NA,NA,NA,NA
"196",1,13.1,1,5,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,5,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,6,NA,NA,NA,NA,7,6,NA,NA,NA,NA
"197",1,25.1,6,2,2,2,NA,NA,5,1,4,1,NA,NA,7,2,7,2,NA,NA,2,7,6,2,NA,NA,6,2,6,2,NA,NA,7,4,7,5,NA,NA,5,6,5,5,NA,NA,2,4,1,2,NA,NA,4,4,2,3,NA,NA,2,3,2,3,NA,NA,5,4,6,5,NA,NA
"198",1,18.1,2,1,4,4,4,4,1,1,1,1,1,3,1,1,5,2,4,1,7,7,1,1,4,1,1,1,3,1,4,1,5,5,5,2,5,5,1,1,4,4,1,4,1,1,1,1,1,3,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7
"199",1,9.1,4,3,NA,NA,4,3,4,1,NA,NA,3,1,4,3,NA,NA,3,1,4,3,NA,NA,3,2,4,2,NA,NA,3,1,4,5,NA,NA,3,1,4,1,NA,NA,4,3,4,1,NA,NA,4,1,4,1,NA,NA,3,1,4,7,NA,NA,3,7,4,7,NA,NA,4,7
"200",1,20.3,NA,NA,4,7,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,5,NA,NA,NA,NA,2,6,NA,NA,NA,NA,2,1,NA,NA,NA,NA,3,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,7,7,NA,NA
"201",1,18.1,5,4,6,1,5,4,2,1,1,1,2,1,6,3,4,2,6,4,2,6,5,1,5,2,2,1,4,1,6,1,6,4,5,5,7,6,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,7,6,7,6,6,7,7,7,7,7,6,7
"202",1,18.1,3,5,1,4,1,4,3,1,1,2,1,3,4,6,3,5,2,5,5,2,1,2,1,4,5,1,1,2,3,4,5,6,1,5,5,5,3,1,1,1,1,2,3,1,1,1,1,3,1,1,1,1,1,2,5,7,7,7,7,7,6,7,7,6,6,6
"203",1,13.1,4,1,2,3,2,4,1,1,1,1,1,1,1,4,1,2,5,5,6,7,1,1,2,1,1,1,1,1,2,1,4,6,5,6,4,7,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,7,6,6,6,6,7,7,7,7
"204",1,2.1,NA,NA,5,3,6,3,NA,NA,1,5,1,4,NA,NA,5,3,6,4,NA,NA,6,3,6,3,NA,NA,4,5,3,3,NA,NA,5,6,4,6,NA,NA,1,5,4,4,NA,NA,1,6,2,4,NA,NA,1,6,1,4,NA,NA,6,6,5,7,NA,NA,6,6,2,6
"205",1,14.1,6,6,6,6,4,5,1,1,2,1,2,2,2,3,6,5,4,5,4,1,6,5,1,5,4,1,2,1,1,1,4,7,7,6,3,7,2,1,4,2,2,3,2,1,2,1,4,1,1,1,2,1,1,1,6,7,7,6,7,7,6,7,7,7,6,7
"206",1,1.1,4,6,NA,NA,NA,2,1,1,NA,NA,NA,1,1,6,NA,NA,NA,2,4,7,NA,NA,NA,1,1,1,NA,NA,NA,1,5,7,NA,NA,NA,2,1,2,NA,NA,NA,1,1,1,NA,NA,NA,1,1,2,NA,NA,NA,1,7,7,NA,NA,NA,7,5,7,NA,NA,NA,5
"207",1,11.2,5,6,NA,NA,NA,NA,2,1,NA,NA,NA,NA,4,5,NA,NA,NA,NA,6,5,NA,NA,NA,NA,5,6,NA,NA,NA,NA,5,5,NA,NA,NA,NA,4,6,NA,NA,NA,NA,3,6,NA,NA,NA,NA,2,6,NA,NA,NA,NA,5,5,NA,NA,NA,NA,4,6,NA,NA,NA,NA
"208",1,7.2,1,5,1,5,1,5,1,1,2,1,1,2,1,6,1,7,1,6,1,5,1,5,1,5,1,1,1,1,1,1,7,7,6,6,5,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,6,6,7,7,7,7,7,6,7,7,7
"209",1,2.1,NA,NA,2,2,1,1,NA,NA,2,2,2,1,NA,NA,3,3,3,1,NA,NA,1,1,4,1,NA,NA,2,2,2,1,NA,NA,4,4,2,1,NA,NA,1,1,2,1,NA,NA,1,1,2,1,NA,NA,1,1,2,1,NA,NA,7,7,6,7,NA,NA,6,6,7,2
"210",1,10.4,5,4,NA,NA,5,4,1,4,NA,NA,1,1,1,4,NA,NA,1,1,6,2,NA,NA,1,1,1,2,NA,NA,2,1,5,4,NA,NA,1,4,1,4,NA,NA,1,4,1,4,NA,NA,1,1,1,2,NA,NA,1,1,7,7,NA,NA,1,7,6,7,NA,NA,5,7
"211",1,20.1,4,1,NA,NA,4,1,4,1,NA,NA,1,1,3,3,NA,NA,3,3,3,7,NA,NA,2,1,3,2,NA,NA,2,1,3,5,NA,NA,2,6,2,1,NA,NA,2,1,3,1,NA,NA,1,1,2,1,NA,NA,1,1,4,7,NA,NA,3,7,4,6,NA,NA,5,7
"212",1,19.3,5,4,3,5,2,6,4,6,1,5,1,2,5,4,5,4,4,6,7,5,1,4,1,4,4,1,1,1,1,1,6,5,2,5,3,6,1,7,1,6,1,3,1,6,1,6,1,2,1,6,1,5,1,3,6,5,6,6,6,7,6,5,4,6,5,7
"213",1,7.1,5,5,5,1,NA,NA,1,1,2,1,NA,NA,5,5,6,1,NA,NA,6,6,2,1,NA,NA,4,4,3,1,NA,NA,6,6,2,1,NA,NA,4,4,3,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,6,6,6,7,NA,NA,7,7,5,7,NA,NA
"214",2,22.1,2,2,2,6,NA,NA,1,1,1,1,NA,NA,1,1,2,5,NA,NA,4,4,1,4,NA,NA,1,1,1,1,NA,NA,5,6,4,5,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,7,7,7,7,NA,NA,7,7,7,7,NA,NA
"215",2,24.2,4,6,2,2,4,5,1,1,1,2,3,5,1,5,2,1,2,5,3,3,1,1,1,5,2,2,2,1,4,1,2,5,7,7,3,6,4,4,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,5,7,1,1,4,7,5,7,7,7,5,7
