"","child_sex","cluster","EREP_1.1.1","EREP_1.1.2","EREP_1.2.1","EREP_1.2.2","EREP_1.3.1","EREP_1.3.2","EREP_4.1.1","EREP_4.1.2","EREP_4.2.1","EREP_4.2.2","EREP_4.3.1","EREP_4.3.2","EREP_6.1.1","EREP_6.1.2","EREP_6.2.1","EREP_6.2.2","EREP_6.3.1","EREP_6.3.2","EREP_7.1.1","EREP_7.1.2","EREP_7.2.1","EREP_7.2.2","EREP_7.3.1","EREP_7.3.2","EREP_8.1.1","EREP_8.1.2","EREP_8.2.1","EREP_8.2.2","EREP_8.3.1","EREP_8.3.2","EREP_10.1.1","EREP_10.1.2","EREP_10.2.1","EREP_10.2.2","EREP_10.3.1","EREP_10.3.2","EREP_2.1.1","EREP_2.1.2","EREP_2.2.1","EREP_2.2.2","EREP_2.3.1","EREP_2.3.2","EREP_3.1.1","EREP_3.1.2","EREP_3.2.1","EREP_3.2.2","EREP_3.3.1","EREP_3.3.2","EREP_5.1.1","EREP_5.1.2","EREP_5.2.1","EREP_5.2.2","EREP_5.3.1","EREP_5.3.2","EREP_9.1.1","EREP_9.1.2","EREP_9.2.1","EREP_9.2.2","EREP_9.3.1","EREP_9.3.2","EREP_12.1.1","EREP_12.1.2","EREP_12.2.1","EREP_12.2.2","EREP_12.3.1","EREP_12.3.2"
"130",1,13.1,5,2,NA,7,NA,6,1,1,NA,3,NA,4,2,2,NA,7,NA,5,5,5,NA,5,NA,6,2,1,NA,4,NA,4,7,6,NA,5,NA,6,1,3,NA,5,NA,5,1,1,NA,4,NA,5,1,2,NA,4,NA,3,7,6,NA,6,NA,5,7,6,NA,7,NA,6
"131",1,3.4,6,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,5,2,NA,NA,NA,NA,2,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,6,6,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,7,7,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"132",1,5.1,6,6,4,5,5,5,1,1,2,1,4,1,1,5,7,5,5,5,2,5,4,1,4,1,4,1,5,3,5,4,4,6,4,6,3,5,4,4,5,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,6,1,5,2,3,2,5,2,5,2,5
"133",2,22.2,1,1,NA,NA,5,5,1,1,NA,NA,4,3,1,1,NA,NA,5,3,7,7,NA,NA,4,4,1,1,NA,NA,4,4,1,1,NA,NA,4,5,1,1,NA,NA,5,6,1,1,NA,NA,3,3,1,1,NA,NA,4,6,7,7,NA,NA,6,6,7,7,NA,NA,6,4
"134",1,14.1,5,5,NA,NA,6,3,6,2,NA,NA,5,2,6,6,NA,NA,6,6,6,6,NA,NA,4,5,5,4,NA,NA,5,3,5,6,NA,NA,6,6,1,2,NA,NA,4,4,1,2,NA,NA,5,4,1,2,NA,NA,4,3,7,6,NA,NA,7,7,7,7,NA,NA,7,6
"135",2,5.2,1,4,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,4,NA,NA,NA,NA,2,4,NA,NA,NA,NA,2,6,NA,NA,NA,NA,1,6,NA,NA,NA,NA,1,4,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,7,7,NA,NA,NA,NA,7,7,NA,NA,NA,NA
"136",2,12.1,1,1,4,2,1,1,1,1,1,1,1,1,1,7,6,6,4,5,6,7,1,1,1,1,1,1,1,1,1,1,4,6,1,5,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7
"137",2,23.1,5,5,NA,NA,6,5,1,3,NA,NA,1,2,7,7,NA,NA,5,7,3,6,NA,NA,5,6,6,7,NA,NA,2,6,7,7,NA,NA,5,7,1,3,NA,NA,1,5,1,2,NA,NA,1,2,1,2,NA,NA,1,5,7,7,NA,NA,6,6,7,7,NA,NA,7,6
"138",2,11.2,4,6,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,6,NA,NA,NA,NA,4,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,6,6,NA,NA,NA,NA,3,6,NA,NA,NA,NA,1,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,6,7,NA,NA,NA,NA,6,7,NA,NA,NA,NA
"139",2,7.1,6,3,5,4,NA,NA,1,1,1,1,NA,NA,6,6,5,3,NA,NA,4,4,4,4,NA,NA,4,1,4,1,NA,NA,6,4,4,3,NA,NA,2,1,2,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,NA,NA,3,5,5,6,NA,NA,6,7,7,6,NA,NA
