"","child_sex","cluster","PRQ_1.1.1","PRQ_1.1.2","PRQ_1.2.1","PRQ_1.2.2","PRQ_1.3.1","PRQ_1.3.2","PRQ_1.4.1","PRQ_1.4.2","PRQ_2.1.1","PRQ_2.1.2","PRQ_2.2.1","PRQ_2.2.2","PRQ_2.3.1","PRQ_2.3.2","PRQ_2.4.1","PRQ_2.4.2","PRQ_3.1.1","PRQ_3.1.2","PRQ_3.2.1","PRQ_3.2.2","PRQ_3.3.1","PRQ_3.3.2","PRQ_3.4.1","PRQ_3.4.2","PRQ_16.1.1","PRQ_16.1.2","PRQ_16.2.1","PRQ_16.2.2","PRQ_16.3.1","PRQ_16.3.2","PRQ_16.4.1","PRQ_16.4.2","PRQ_21.1.1","PRQ_21.1.2","PRQ_21.2.1","PRQ_21.2.2","PRQ_21.3.1","PRQ_21.3.2","PRQ_21.4.1","PRQ_21.4.2","PRQ_26.1.1","PRQ_26.1.2","PRQ_26.2.1","PRQ_26.2.2","PRQ_26.3.1","PRQ_26.3.2","PRQ_26.4.1","PRQ_26.4.2","PRQ_31.1.1","PRQ_31.1.2","PRQ_31.2.1","PRQ_31.2.2","PRQ_31.3.1","PRQ_31.3.2","PRQ_31.4.1","PRQ_31.4.2","PRQ_36.1.1","PRQ_36.1.2","PRQ_36.2.1","PRQ_36.2.2","PRQ_36.3.1","PRQ_36.3.2","PRQ_36.4.1","PRQ_36.4.2","PRQ_40.1.1","PRQ_40.1.2","PRQ_40.2.1","PRQ_40.2.2","PRQ_40.3.1","PRQ_40.3.2","PRQ_40.4.1","PRQ_40.4.2","PRQ_42.1.1","PRQ_42.1.2","PRQ_42.2.1","PRQ_42.2.2","PRQ_42.3.1","PRQ_42.3.2","PRQ_42.4.1","PRQ_42.4.2","PRQ_43.1.1","PRQ_43.1.2","PRQ_43.2.1","PRQ_43.2.2","PRQ_43.3.1","PRQ_43.3.2","PRQ_43.4.1","PRQ_43.4.2"
"155",2,16.1,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,4,4,NA,NA,3,3,NA,NA,3,2,NA,NA,3,3,NA,NA,3,2,NA,NA,4,4,NA,NA,4,3,NA,NA,3,4,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,4,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA
"156",2,8.1,3,2,4,3,NA,3,4,3,2,3,4,3,NA,3,3,4,2,3,4,3,NA,3,4,4,3,2,3.57860399779217,2,NA,4,3,4,4,2,3,2,NA,3,3,4,4,4,4,4,NA,4,4,4,4,4,4,4,NA,4,3,4,3,4,4,2,NA,3,3,3,3,2,4,3,NA,4,2,4,4,3,1,4,NA,4,3,4,4,3,3,2,NA,3,3,4
"157",2,21.1,2,3,2,3,2,4,3,4,2,3,2,3,2,4,2,4,2,3,2,3,2,4,2,4,2,2,2,3,2,4,2,4,2,3,2,3,2,4,2,4,3,4,2,4,3,4,2,4,2,3,2,3,2,3,2,4,2,3,3,3,3,3,2,3,2,3,3,3,2,3,2,4,3,3,3,4,3,3,2,4,2,3,2,3,2,3,2,4
"158",2,13.1,3,3,3,3,3,4,NA,NA,2,2,2,3,3,3,NA,NA,4,4,3,3,3,4,NA,NA,3,3,3,3,2,3,NA,NA,3,4,3,2,3,4,NA,NA,4,3,4,3,4,3,NA,NA,3,2,3,3,3,3,NA,NA,3,3,2,3,3,4,NA,NA,2,3,3,4,3,4,NA,NA,3,3,3,3,3,3,NA,NA,3,3,3,3,3,3,NA,NA
"159",1,22.1,3,3,3,4,3,2,3,1,2,2,2,2,2,2,2,2,3,2,2,3,3,4,3,4,2,4,2,4,2,4,2,2,2,2,2,3,3,4,3,2,4,4,3,4,4,4,4,4,3,2,3,2,3,2,3,4,3,3,2,1,2,3,3,2,4,4,3,3,3,2,4,1,2,4,3,3,3,4,3,2,2,3,2,3,3,3,2,2
"160",2,19.1,2,3,3,2,2,3,3,2,2,2,3,2,3,3,2,3,2,3,3,3,3,3,3,4,3,2,3,3,2,3,3,4,2,2,3,2,3,3,2,2,4,4,4,4,3,4,3,4,2,2,3,2,3,3,3,2,2,3,3,3,3,3,2,3,2,4,3,3,3,4,2,4,3,4,3,3,3,3,2,4,2,3,2,3,2,3,3,4
"161",1,13.1,2,3,3,3,4,4,NA,NA,3,3,3,3,3,3,NA,NA,3,3,3,3,3,3,NA,NA,2,3,3,3,3,3,NA,NA,2,3,2,2,2,3,NA,NA,4,4,4,4,4,3,NA,NA,2,3,3,3,3,3,NA,NA,2,3,2,3,3,3,NA,NA,2,3,3,4,3,4,NA,NA,2,4,4,4,4,4,NA,NA,2,3,3,3,3,3,NA,NA
"162",1,14.1,2,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA
"163",2,13.2,3,4,NA,3,NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA,4,3,NA,4,NA,NA,NA,NA,3,3,NA,4,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,4,3,NA,4,NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA
"164",1,18.2,3,4,4,4,4,4,NA,NA,2,3,3,3,3,3,NA,NA,4,4,3,4,3,4,NA,NA,4,3,3,4,2,2,NA,NA,3,4,1,3,3,1,NA,NA,4,4,4,4,4,4,NA,NA,3,4,3,4,3,4,NA,NA,3,4,3,3,3,4,NA,NA,4,4,3,4,3,4,NA,NA,4,4,4,4,3,4,NA,NA,3,3,3,4,3,4,NA,NA
