"","child_sex","cluster","PRQ_1.1.1","PRQ_1.1.2","PRQ_1.2.1","PRQ_1.2.2","PRQ_1.3.1","PRQ_1.3.2","PRQ_1.4.1","PRQ_1.4.2","PRQ_2.1.1","PRQ_2.1.2","PRQ_2.2.1","PRQ_2.2.2","PRQ_2.3.1","PRQ_2.3.2","PRQ_2.4.1","PRQ_2.4.2","PRQ_3.1.1","PRQ_3.1.2","PRQ_3.2.1","PRQ_3.2.2","PRQ_3.3.1","PRQ_3.3.2","PRQ_3.4.1","PRQ_3.4.2","PRQ_16.1.1","PRQ_16.1.2","PRQ_16.2.1","PRQ_16.2.2","PRQ_16.3.1","PRQ_16.3.2","PRQ_16.4.1","PRQ_16.4.2","PRQ_21.1.1","PRQ_21.1.2","PRQ_21.2.1","PRQ_21.2.2","PRQ_21.3.1","PRQ_21.3.2","PRQ_21.4.1","PRQ_21.4.2","PRQ_26.1.1","PRQ_26.1.2","PRQ_26.2.1","PRQ_26.2.2","PRQ_26.3.1","PRQ_26.3.2","PRQ_26.4.1","PRQ_26.4.2","PRQ_31.1.1","PRQ_31.1.2","PRQ_31.2.1","PRQ_31.2.2","PRQ_31.3.1","PRQ_31.3.2","PRQ_31.4.1","PRQ_31.4.2","PRQ_36.1.1","PRQ_36.1.2","PRQ_36.2.1","PRQ_36.2.2","PRQ_36.3.1","PRQ_36.3.2","PRQ_36.4.1","PRQ_36.4.2","PRQ_40.1.1","PRQ_40.1.2","PRQ_40.2.1","PRQ_40.2.2","PRQ_40.3.1","PRQ_40.3.2","PRQ_40.4.1","PRQ_40.4.2","PRQ_42.1.1","PRQ_42.1.2","PRQ_42.2.1","PRQ_42.2.2","PRQ_42.3.1","PRQ_42.3.2","PRQ_42.4.1","PRQ_42.4.2","PRQ_43.1.1","PRQ_43.1.2","PRQ_43.2.1","PRQ_43.2.2","PRQ_43.3.1","PRQ_43.3.2","PRQ_43.4.1","PRQ_43.4.2"
"133",2,22.2,4,4,NA,NA,4,4,NA,NA,3,3,NA,NA,3,2,NA,NA,2,2,NA,NA,3,4,NA,NA,3,3,NA,NA,2,3,NA,NA,1,1,NA,NA,3,3,NA,NA,4,4,NA,NA,4,4,NA,NA,4,4,NA,NA,3,2,NA,NA,4,4,NA,NA,2,2,NA,NA,4,4,NA,NA,4,4,NA,NA,3,3,NA,NA,4,4,NA,NA,2,2,NA,NA,3,2,NA,NA
"134",1,14.1,3,3,NA,NA,3,3,NA,NA,2,3,NA,NA,2,3,NA,NA,4,3,NA,NA,3,4,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,2,2,NA,NA,4,4,NA,NA,4,4,NA,NA,3,2,NA,NA,3,4,NA,NA,3,2,NA,NA,3,3,NA,NA,3,2,NA,NA,2,3,NA,NA,4,3,NA,NA,4,4,NA,NA,4,3,NA,NA,3,3,NA,NA
"135",2,5.2,3,2,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA
"136",2,12.1,4,3,3,3,4,3,4,3,3,3,3,3,3,3,4,4,4,3,4,3,3,4,4,4,4,3,3,3,3,3,2,4,4,4,2,3,2,3,2,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,2,4,4,4,3,4,3,4,4,4,3,3,3,3,3,3,4,4
"137",2,23.1,3,3,NA,NA,3,3,3,4,3,4,NA,NA,3,3,2,4,2,4,NA,NA,3,3,3,4,3,4,NA,NA,2,3,2,3,1,1,NA,NA,3,3,3,3,3,4,NA,NA,4,3,3,NA,3,3,NA,NA,3,2,2,3,3,3,NA,NA,2,3,2,4,3,4,NA,NA,3,3,2,3,3,4,NA,NA,4,3,3,4,3,3,NA,NA,3,3,4,4
"138",2,11.2,3,2,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA
"139",2,7.1,4,3,3,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,2,4,2,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,3,4,3,3,NA,NA,NA,NA,3,4,3,3,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,3,4,3,3,NA,NA,NA,NA
"140",2,5.2,3,3,3,3,NA,NA,NA,NA,2,2,3,3,NA,NA,NA,NA,2,3,3,4,NA,NA,NA,NA,3,4,3,3,NA,NA,NA,NA,2,3,3,2,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,2,3,3,3,NA,NA,NA,NA,3,4,3,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,4,3,3,3,NA,NA,NA,NA
"141",2,20.1,3,4,3,3,3,3,NA,NA,2,4,2,3,3,3,NA,NA,3,3,4,3,3,3,NA,NA,2,3,3,3,3,3,NA,NA,3,3,3,3,4,3,NA,NA,4,4,4,4,4,4,NA,NA,3,4,3,3,3,3,NA,NA,3,3,2,3,3,3,NA,NA,2,4,3,4,3,3,NA,NA,3,4,3,4,4,3,NA,NA,3,4,3,3,3,3,NA,NA
"142",1,4.1,3,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA
"143",2,10.4,3,3,NA,NA,3,3,NA,NA,2,3,NA,NA,3,2,NA,NA,2,4,NA,NA,3,3,NA,NA,3,2,NA,NA,3,3,NA,NA,3,3,NA,NA,3,2,NA,NA,4,4,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,3,2,NA,NA,2,3,NA,NA,2,2,NA,NA,3,4,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA
"144",1,25.1,3,3,2,4,NA,NA,3,3,3,4,3,4,NA,NA,2,4,4,4,3,4,NA,NA,4,4,3,3,3,3,NA,NA,3,4,3,2,3,2,NA,NA,3,2,4,4,4,3,NA,NA,4,4,3,2,3,3,NA,NA,3,2,3,3,3,3,NA,NA,3,3,3,3,3,3,NA,NA,3,4,3,3,3,3,NA,NA,3,4,3,3,3,3,NA,NA,3,4
"145",2,14.1,3,4,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,3,4,3,4,NA,NA,NA,NA,4,4,4,3,NA,NA,NA,NA,3,4,3,4,NA,NA,NA,NA,2,4,4,4,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,3,4,4,3,NA,NA,NA,NA,2,4,3,3,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,4,4,3,4,NA,NA,NA,NA,3,4
"146",2,12.1,3,4,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA
"147",1,5.2,3,4,NA,NA,1,3,NA,NA,3,3,NA,NA,3,2,NA,NA,3,2,NA,NA,2,3,NA,NA,3,2,NA,NA,3,2,NA,NA,3,3,NA,NA,2,2,NA,NA,2,3,NA,NA,4,3,NA,NA,3,3,NA,NA,2,3,NA,NA,3,2,NA,NA,2,2,NA,NA,2,3,NA,NA,3,4,NA,NA,3,4,NA,NA,3,3,NA,NA,2,3,NA,NA,3,3,NA,NA
"148",2,15.1,4,4,3,4,NA,NA,4,4,3,3,3,3,NA,NA,3,4,3,3,3,4,NA,NA,3,4,3,2,3,2,NA,NA,3,4,3,2,2,2,NA,NA,3,3,4,3,4,4,NA,NA,4,4,3,3,3,4,NA,NA,4,2,3,3,3,3,NA,NA,3,3,4,3,3,4,NA,NA,4,4,4,3,4,4,NA,NA,4,4,4,3,4,4,NA,NA,3,4
"149",2,13.2,4,4,4,4,3,4,4,4,3,3,3,3,3,3,4,3,3,3,4,3,4,4,4,3,3,3,3,3,3,4,4,2,3,2,3,3,3,3,4,2,3,4,3,4,3,4,3,4,3,4,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,2,3,3,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,3
"150",2,16.1,1,3,NA,NA,3,3,NA,NA,2,3,NA,NA,2,3,NA,NA,3,3,NA,NA,3,3,NA,NA,2,3,NA,NA,3,3,NA,NA,3,3,NA,NA,2,3,NA,NA,3,4,NA,NA,4,4,NA,NA,3,3,NA,NA,3,4,NA,NA,2,3,NA,NA,2,3,NA,NA,3,3,NA,NA,4,4,NA,NA,3,3,NA,NA,4,4,NA,NA,2,3,NA,NA,3,3,NA,NA
"151",2,7.2,3,2,4,4,3,1,4,3,3,2,3,4,3,1,4,3,3,2,3,4,3,1,4,3,3,2,2,3,3,2,3,3,3,4,2,3,3,2,4,3,3,4,3,3,4,4,4,4,3,4,2,2,3,1,4,3,3,4,3,3,4,3,4,3,4,3,3,3,3,3,4,4,4,4,3,3,4,3,4,4,3,3,3,3,4,2,4,3
"152",2,10.3,3,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA
"153",2,2.1,NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA,2,4,NA,2,NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA,3,4,NA,2,NA,NA,NA,NA,4,4,NA,2,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,3,4,NA,4,NA,NA,NA,NA,3,4,NA,2,NA,NA,NA,NA,4,4,NA,3,NA,NA,NA,NA,4,4,NA,3,NA,NA,NA,NA,3,4,NA,3
"154",2,12.2,3,4,NA,NA,NA,NA,4,NA,3,3,NA,NA,NA,NA,4,NA,2,3,NA,NA,NA,NA,4,NA,2,3,NA,NA,NA,NA,4,NA,3,2,NA,NA,NA,NA,3,NA,4,4,NA,NA,NA,NA,4,NA,3,3,NA,NA,NA,NA,4,NA,3,3,NA,NA,NA,NA,4,NA,3,4,NA,NA,NA,NA,4,NA,3,4,NA,NA,NA,NA,4,NA,3,3,NA,NA,NA,NA,4,NA
