"","child_sex","cluster","Erc_edc_1.1.1","Erc_edc_1.1.2","Erc_edc_1.2.1","Erc_edc_1.2.2","Erc_edc_1.3.1","Erc_edc_1.3.2","Erc_edc_1.4.1","Erc_edc_1.4.2","Erc_edc_3.1.1","Erc_edc_3.1.2","Erc_edc_3.2.1","Erc_edc_3.2.2","Erc_edc_3.3.1","Erc_edc_3.3.2","Erc_edc_3.4.1","Erc_edc_3.4.2","Erc_edc_7.1.1","Erc_edc_7.1.2","Erc_edc_7.2.1","Erc_edc_7.2.2","Erc_edc_7.3.1","Erc_edc_7.3.2","Erc_edc_7.4.1","Erc_edc_7.4.2","Erc_edc_15.1.1","Erc_edc_15.1.2","Erc_edc_15.2.1","Erc_edc_15.2.2","Erc_edc_15.3.1","Erc_edc_15.3.2","Erc_edc_15.4.1","Erc_edc_15.4.2","Erc_edc_16.1.1","Erc_edc_16.1.2","Erc_edc_16.2.1","Erc_edc_16.2.2","Erc_edc_16.3.1","Erc_edc_16.3.2","Erc_edc_16.4.1","Erc_edc_16.4.2","Erc_edc_18.1.1","Erc_edc_18.1.2","Erc_edc_18.2.1","Erc_edc_18.2.2","Erc_edc_18.3.1","Erc_edc_18.3.2","Erc_edc_18.4.1","Erc_edc_18.4.2","Erc_edc_21.1.1","Erc_edc_21.1.2","Erc_edc_21.2.1","Erc_edc_21.2.2","Erc_edc_21.3.1","Erc_edc_21.3.2","Erc_edc_21.4.1","Erc_edc_21.4.2","Erc_edc_23.1.1","Erc_edc_23.1.2","Erc_edc_23.2.1","Erc_edc_23.2.2","Erc_edc_23.3.1","Erc_edc_23.3.2","Erc_edc_23.4.1","Erc_edc_23.4.2","Erc_edc_5.1.1","Erc_edc_5.1.2","Erc_edc_5.2.1","Erc_edc_5.2.2","Erc_edc_5.3.1","Erc_edc_5.3.2","Erc_edc_5.4.1","Erc_edc_5.4.2"
"35",1,5.1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA
"36",1,18.2,4,4,3,3,3,3,NA,NA,3,3,3,3,3,3,NA,NA,3,3,3,3,3,3,NA,NA,3,3,4,4,3,3,NA,NA,2,2,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,3,3,3,3,3,3,NA,NA,3,3,3,3,2,2,NA,NA,2,2,3,3,3,3,NA,NA
"37",1,13.1,3,3,NA,NA,4,4,NA,NA,4,4,NA,NA,4,4,NA,NA,2,2,NA,NA,4,4,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,4,4,NA,NA,4,4,NA,NA,1,1,NA,NA,3,3,NA,NA,2,2,NA,NA,1,1,NA,NA,1,1,NA,NA,4,4,NA,NA
"38",1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1,19.3,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,3,3,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,3,3,2,2,NA,NA,NA,NA,3,3
"40",1,13.2,4,4,4,4,3,3,4,4,2,2,3,3,4,4,4,4,2,2,3,3,4,4,4,4,2,2,4,4,3,3,3,3,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,4,4,3,3,3,3,4,4,3,3,2,2,3,3,2,2,3,3,2,2,2,2
"41",1,6.1,4,4,NA,NA,4,4,4,4,3,3,NA,NA,4,4,4,4,3,3,NA,NA,4,4,4,4,3,3,NA,NA,3,3,2,2,2,2,NA,NA,1,1,1,1,2,2,NA,NA,2,2,1,1,3,3,NA,NA,3,3,4,4,2,2,NA,NA,1,1,3,3,2,2,NA,NA,4,4,3,3
"42",1,16.1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,4,4
"43",1,11.2,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,2,2,1,1,1,1,1,1,2,2,1,1,1,1,4,4,1,1,3,3,4,4,4,4,3,3,2,2,4,4,2,2,3,3,3,3,4,4,4,4,3,3
"44",1,18.1,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,2,2,4,4,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,3,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,4,4,2,2
