"","child_sex","cluster","Erc_edc_1.1.1","Erc_edc_1.1.2","Erc_edc_1.2.1","Erc_edc_1.2.2","Erc_edc_1.3.1","Erc_edc_1.3.2","Erc_edc_1.4.1","Erc_edc_1.4.2","Erc_edc_3.1.1","Erc_edc_3.1.2","Erc_edc_3.2.1","Erc_edc_3.2.2","Erc_edc_3.3.1","Erc_edc_3.3.2","Erc_edc_3.4.1","Erc_edc_3.4.2","Erc_edc_7.1.1","Erc_edc_7.1.2","Erc_edc_7.2.1","Erc_edc_7.2.2","Erc_edc_7.3.1","Erc_edc_7.3.2","Erc_edc_7.4.1","Erc_edc_7.4.2","Erc_edc_15.1.1","Erc_edc_15.1.2","Erc_edc_15.2.1","Erc_edc_15.2.2","Erc_edc_15.3.1","Erc_edc_15.3.2","Erc_edc_15.4.1","Erc_edc_15.4.2","Erc_edc_16.1.1","Erc_edc_16.1.2","Erc_edc_16.2.1","Erc_edc_16.2.2","Erc_edc_16.3.1","Erc_edc_16.3.2","Erc_edc_16.4.1","Erc_edc_16.4.2","Erc_edc_18.1.1","Erc_edc_18.1.2","Erc_edc_18.2.1","Erc_edc_18.2.2","Erc_edc_18.3.1","Erc_edc_18.3.2","Erc_edc_18.4.1","Erc_edc_18.4.2","Erc_edc_21.1.1","Erc_edc_21.1.2","Erc_edc_21.2.1","Erc_edc_21.2.2","Erc_edc_21.3.1","Erc_edc_21.3.2","Erc_edc_21.4.1","Erc_edc_21.4.2","Erc_edc_23.1.1","Erc_edc_23.1.2","Erc_edc_23.2.1","Erc_edc_23.2.2","Erc_edc_23.3.1","Erc_edc_23.3.2","Erc_edc_23.4.1","Erc_edc_23.4.2","Erc_edc_5.1.1","Erc_edc_5.1.2","Erc_edc_5.2.1","Erc_edc_5.2.2","Erc_edc_5.3.1","Erc_edc_5.3.2","Erc_edc_5.4.1","Erc_edc_5.4.2"
"45",1,5.2,3,3,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,4,4,3,3,NA,NA,2,2,1,1,1,1,NA,NA,2,2,1,1,1,1,NA,NA,2,2,4,4,3,3,NA,NA,2,2,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA
"46",1,19.3,4,4,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,2,2,3,3,NA,NA,NA,NA,4,4,2,2,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA
"47",1,15.1,NA,NA,3,3,4,4,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,3,3,2,2,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,2,2,4,4,NA,NA
"48",2,12.2,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,NA,NA
"49",1,7.2,3,3,NA,NA,3,3,4,4,2,2,NA,NA,3,3,4,4,2,2,NA,NA,3,3,4,4,3,3,NA,NA,4,4,3,3,1,1,NA,NA,1,1,2,2,1,1,NA,NA,1,1,1,1,1,1,NA,NA,4,4,3,3,3,3,NA,NA,2,2,3,3,2,2,NA,NA,2,2,3,3
"50",1,19.3,4,4,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,2,2,4,4,NA,NA,NA,NA,4,4,2,2,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA
"51",2,20.1,NA,NA,4,4,4,4,4,4,NA,NA,4,4,3,3,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,2,2,1,1,1,1,NA,NA,2,2,1,1,1,1,NA,NA,3,3,3,3,4,4,NA,NA,3,3,4,4,4,4,NA,NA,3,3,3,3,4,4
"52",2,7.2,4,4,3,3,4,4,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,2,2,1,1,3,3,4,4,2,2,2,2,1,1,1,1,1,1,2,2,1,1,4,4,2,2,3,3,2,2,4,4,2,2,4,4,3,3,2,2,4,4,3,3,3,3,3,3
"53",1,16.2,NA,NA,3,3,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,3,3,4,4,3,3,NA,NA,1,1,1,1,2,2,NA,NA,1,1,4,4,1,1,NA,NA,3,3,4,4,4,4,NA,NA,4,4,1,1,4,4,NA,NA,4,4,4,4,4,4
"54",1,2.1,4,4,4,4,4,4,NA,NA,2,2,4,4,4,4,NA,NA,4,4,4,4,3,3,NA,NA,4,4,4,4,4,4,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,3,3,3,3,4,4,NA,NA,1,1,4,4,4,4,NA,NA,3,3,1,1,4,4,NA,NA
"55",2,17.1,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,4,4,4,4,3,3,2,2,3,3,4,4,2,2,2,2,3,3,3,3
"56",2,25.1,1,1,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,3,3,4,4,NA,NA,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,NA,NA,4,4,2,2,4,4,NA,NA,3,3,4,4,4,4,NA,NA,3,3
"57",1,5.2,3,3,3,3,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,3,3,4,4,NA,NA,4,4,4,4,3,3,NA,NA,2,2,2,2,1,1,NA,NA,2,2,2,2,1,1,NA,NA,2,2,2,2,3,3,NA,NA,2,2,2,2,4,4,NA,NA,2,2,2,2,4,4,NA,NA
"58",2,3.3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,4,4,4,4,2,2,4,4,1,1,4,4,1,1,3,3,4,4,4,4,4,4,4,4
"59",2,14.1,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,2,2,3,3,NA,NA,NA,NA,4,4,2,2,NA,NA,NA,NA,3,3,2,2,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,2,2,4,4,NA,NA,NA,NA,3,3,3,3
"60",1,3.3,NA,NA,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,4,4,NA,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,2,2,4,4,NA,NA,NA,NA,2,2
"61",1,13.1,NA,NA,3,3,3,3,4,4,NA,NA,4,4,3,3,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,3,3,3,3,NA,NA,2,2,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,2,2,3,3,3,3,NA,NA,4,4,2,2,3,3,NA,NA,2,2,3,3,2,2
"62",1,21.2,3,3,4,4,3,3,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,3,3,4,4,4,4,3,3,3,3,1,1,1,1,2,2,3,3,4,4,4,4
"63",1,18.2,4,4,3,3,3,3,4,4,2,2,3,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,3,3,1,1,2,2,3,3,2,2,1,1,1,1,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,2,3,3
"64",2,14.1,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,4,4,2,2,NA,NA,NA,NA,3,3,2,2
"65",1,17.1,4,NA,4,4,3,3,NA,NA,4,NA,4,4,3,3,NA,NA,1,NA,3,3,3,3,NA,NA,3,NA,4,4,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1,NA,1,1,1,1,NA,NA,4,NA,3,3,2,2,NA,NA,3,NA,3,3,3,3,NA,NA,2,NA,2,2,3,3,NA,NA
"66",1,12.2,4,4,4,4,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,2,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,3,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,4,4,NA,NA
"67",1,24.1,3,3,NA,NA,4,4,NA,NA,4,4,NA,NA,4,4,NA,NA,4,4,NA,NA,4,4,NA,NA,2,2,NA,NA,4,4,NA,NA,1,1,NA,NA,1,1,NA,NA,2,2,NA,NA,1,1,NA,NA,4,4,NA,NA,4,4,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,4,4,NA,NA
"68",1,10.4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,2,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,2,2,4,4,2,2,4,4,4,4,4,4,4,4
"69",1,7.2,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,1,1,2,2,3,3,NA,NA,1,1,2,2,1,1,NA,NA,3,3,3,3,2,2,NA,NA,1,1,1,1,2,2,NA,NA,1,1,4,4,3,3,NA,NA,3,3,4,4,3,3,NA,NA
"70",1,3.1,NA,NA,2,2,NA,NA,2,2,NA,NA,4,4,NA,NA,2,2,NA,NA,3,3,NA,NA,2,2,NA,NA,3,3,NA,NA,1,1,NA,NA,2,2,NA,NA,2,2,NA,NA,1,1,NA,NA,1,1,NA,NA,2,2,NA,NA,1,1,NA,NA,2,2,NA,NA,1,1,NA,NA,2,2,NA,NA,1,1
"71",1,14.1,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,1,1,3,3,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,4,4,1,1,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,3,3,2,2
"72",1,3.4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,2,2,4,4,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,4,4,4,4,4,4,NA,NA,4,4,2,2,2,2,NA,NA,4,4,2,2,2,2
"73",2,3.2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,4,4
"74",2,1.1,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,4,NA,NA
"75",1,17.1,3,3,4,4,3,3,3,3,2,2,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,4,4,3,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,4,4,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1
"76",1,2.1,NA,NA,4,4,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,3,3,4,4,NA,NA,NA,NA,4,4,2,2,NA,NA,NA,NA,1,1,4,4,NA,NA
"77",1,7.2,4,4,4,4,4,4,NA,NA,3,3,4,4,3,3,NA,NA,3,3,4,4,3,3,NA,NA,2,2,1,1,2,2,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,2,2,NA,NA,1,1,2,2,2,2,NA,NA,2,2,4,4,2,2,NA,NA,2,2,4,4,2,2,NA,NA
"78",1,12.2,NA,NA,4,4,3,3,2,2,NA,NA,4,4,3,3,4,4,NA,NA,4,4,3,3,3,3,NA,NA,3,3,3,3,3,3,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,4,4,2,2,3,3,NA,NA,2,2,2,2,4,4,NA,NA,2,2,2,2,NA,NA
"79",1,10.4,NA,NA,4,4,2,2,NA,NA,NA,NA,4,4,2,2,NA,NA,NA,NA,4,4,2,2,NA,NA,NA,NA,4,4,2,2,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,4,4,3,3,NA,NA,NA,NA,2,2,4,4,NA,NA,NA,NA,2,2,1,1,NA,NA
"80",1,22.2,4,4,3,3,3,3,2,2,4,4,3,3,3,3,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,NA,NA,2,2,3,3,2,2,NA,NA,2,2,3,3,2,2,2,2,2,2,2,2,3,3
"81",1,15.1,NA,NA,3,3,4,4,4,4,NA,NA,3,3,4,4,4,4,NA,NA,3,3,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,3,3,3,3,4,4,NA,NA,3,3,4,4,4,4,NA,NA,3,3,4,4,4,4
"82",2,18.1,4,4,4,4,4,4,2,2,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,4,4,3,3,3,3,4,4,2,2,4,4,3,3,4,4,4,4,2,2,3,3,3,3
"83",1,16.2,4,4,NA,NA,4,4,NA,NA,4,4,NA,NA,4,4,NA,NA,4,4,NA,NA,4,4,NA,NA,3,3,NA,NA,4,4,NA,NA,1,1,NA,NA,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,4,4,NA,NA,2,2,NA,NA,3,3,NA,NA
"84",1,25.2,4,4,4,4,NA,NA,3,3,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,4,4,4,4,3,3,NA,NA,2,2,1,1,1,1,1,1,2,2,1,1,4,4,1,1,2,2,3,3,3,3,NA,NA,4,4,1,1,3,3,NA,NA,3,3,4,4,4,4,NA,NA,3,3
"85",1,10.3,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,4,4,NA,NA,3,3,NA,NA,3,3,NA,NA,4,4,NA,NA,4,4,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,1,1,NA,NA,2,2,NA,NA,2,2,NA,NA,1,1,NA,NA,3,3,NA,NA,4,4,NA,NA,3,3,NA,NA
