"","school_id","child_age","child_sex","father_education","mother_education","m_sec_t1","m_sec_t2","m_sec_t3","f_sec_t1","f_sec_t2","f_sec_t3","c_er_t1","c_er_t2","c_er_t3","mc_att_t1","mc_att_t2","mc_att_t3","fc_att_t1","fc_att_t2","fc_att_t3","rel_length","child_age","child_sex"
"1",1.1,4.25188227241615,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3.54545454545455,NA,NA,3.54545454545455,NA,NA,13.5833333333333,4.25188227241615,1
"2",24.1,5.16906228610541,1,"college education","college education",1.2,NA,1.3,2.7,NA,3.4,3.66666666666667,NA,4,3.18181818181818,NA,3.18181818181818,3.45454545454545,NA,3,12.0833333333333,5.16906228610541,1
"3",12.2,4.14784394250513,1,"college education","college education",3.2,3.1,3.2,4.3,4.3,3.9,3.5,3.66666666666667,3.16666666666667,3.36363636363636,2.81818181818182,3.36363636363636,2.45454545454545,2.81818181818182,3,19.5,4.14784394250513,1
"4",14.1,3.3347022587269,0,"high school","college education",1.4,NA,2.2,NA,NA,2.1,NA,NA,4,3.36363636363636,NA,3.63636363636364,2.09090909090909,NA,2.81818181818182,20,3.3347022587269,0
"5",1.1,3.49897330595483,0,"high school","college education",1.2,NA,NA,3.6,NA,NA,NA,NA,NA,2.81818181818182,NA,NA,3.36363636363636,NA,NA,20,3.49897330595483,0
"6",11.2,4.67898699520876,1,"high school","college education",1.9,NA,NA,2.6,NA,NA,3.83333333333333,4,NA,3.27272727272727,NA,NA,2.36363636363636,NA,NA,16.5833333333333,4.67898699520876,1
"7",16.1,3.96714579055441,1,"high school","high school",2.1,2.4,2.2,2.2,1.1,2,4,4,4,2.36363636363636,3.09090909090909,3.54545454545455,3.18181818181818,3.09090909090909,2.81818181818182,10,3.96714579055441,1
"8",11.2,4.5886379192334,0,"college education","college education",2.5,NA,NA,3.7,NA,NA,NA,NA,3.5,3.27272727272727,NA,NA,2.45454545454545,NA,NA,12.6666666666667,4.5886379192334,0
"9",16.1,3.49897330595483,1,"less than high school","college education",1.6,1.2,2.3,1.6,1.3,2,3.83333333333333,3.66666666666667,3.66666666666667,2.72727272727273,2.90909090909091,3.09090909090909,2.81818181818182,3.09090909090909,3.09090909090909,9.66666666666667,3.49897330595483,1
"10",16.2,4.6735112936345,0,"high school","high school",2.9,3.4,2.5,2.5,3,2.6,3.66666666666667,3.83333333333333,2.83333333333333,3.09090909090909,3.18181818181818,3.09090909090909,3.09090909090909,3.09090909090909,3,9.25,4.6735112936345,0
"11",19.1,3.29637234770705,0,"high school","less than high school",3.5,NA,3.95,2.6,NA,2.9,3.5,NA,3.33333333333333,3.45454545454545,NA,3.63636363636364,3.03468290314602,NA,3.45454545454545,11.5833333333333,3.29637234770705,0
"12",8.2,4.09308692676249,0,"college education","college education",1.7,1.7,NA,1.5,1.7,NA,NA,3,NA,3.09090909090909,3.09090909090909,NA,3.36363636363636,3.09090909090909,NA,10.9166666666667,4.09308692676249,0
"13",7.2,4.19986310746064,0,"college education","college education",2.2,2,1.6,2.4,2.9,3.7,3.83333333333333,3,3.33333333333333,3,3.36363636363636,2.90909090909091,2.90909090909091,2.81818181818182,3,16.6666666666667,4.19986310746064,0
"14",22.1,5.47296372347707,1,"less than high school","high school",3.9,1.9,3.7,3.9,3.9,3.7,NA,4,3.83333333333333,2.63636363636364,3.45454545454545,3,2.72727272727273,3.09090909090909,3,13.25,5.47296372347707,1
"15",18.1,3.4715947980835,1,"high school","college education",1.7,1.4,1.4,1.3,1.3,2.3,2.33333333333333,3.16666666666667,3.66666666666667,3.27272727272727,3.18181818181818,3.27272727272727,3.18181818181818,2.81818181818182,2.63636363636364,5.75,3.4715947980835,1
"16",7.2,4,1,"college education","high school",2.9,2.6,2.3,1,1.9,3,3.5,3.16666666666667,3.16666666666667,3.27272727272727,3.18181818181818,3.27272727272727,3,2.81818181818182,3,11.8536377229668,4,1
"17",14.1,4.55030800821355,1,"high school","high school",2.1,NA,NA,NA,NA,NA,NA,NA,3.8,3.18181818181818,NA,NA,3,NA,NA,6.41666666666667,4.55030800821355,1
"18",17.1,3.53456536618754,1,"college education","college education",2.8,3.1,3.1,1.8,2.3,2.6,3,3.66666666666667,4,3,3,3.36363636363636,3.09090909090909,3.27272727272727,3.09090909090909,10.8333333333333,3.53456536618754,1
"19",13.1,3.57837097878166,1,"high school","high school",3.3,2.6,3.7,1.6,2.2,2,3.66666666666667,4,4,3.09090909090909,3,2.90909090909091,2.90909090909091,2.90909090909091,3,18.3333333333333,3.57837097878166,1
"20",22.1,3.36481861738535,1,"high school","high school",3.5,NA,4.6,3.2,NA,4,3.2,NA,NA,2.90909090909091,NA,3,2.81818181818182,NA,2.45454545454545,8,3.36481861738535,1
"21",18.3,4.36139630390144,1,"high school","high school",1.4,1.6,2.2,2.1,4.2,2.2,3,3.5,3.66666666666667,3.36363636363636,3.72727272727273,3.18181818181818,2.81818181818182,2.36363636363636,3.63636363636364,6,4.36139630390144,1
"22",12.1,4.49007529089665,1,"high school","college education",1.5,3.3,4.4,3.2,3,3,3.66666666666667,4,3.66666666666667,3,3,2.81818181818182,3,3.36363636363636,3,10.6666666666667,4.49007529089665,1
"23",16.1,3.46611909650924,1,"high school","high school",2.1,2,2.4,4,NA,3.6,NA,3.66666666666667,2.83333333333333,3.72727272727273,3.45454545454545,3.54545454545455,3,NA,3.4,6.5,3.46611909650924,1
